
C:\Users\Thomas\Documents\Dev\LOLPython>c:\Python27\python.exe LOL_json_read1.py 5 CSV 4 * 
LOLPyth  version  1.70 - 16Jun2016
--- mode 5 - collection info for all champions
Name           ,Title                     ,Type(s)              ,Att,Def,Mag,Diff,range,name,desc,range,name,desc,range,name,desc,range,name,desc,
Pantheon       ,the Artisan of War       , Fighter Assassin   ,9,4,3,4,600,"Spear Shot","Pantheon hurls his spear at an opponent, dealing damage.",600,"Aegis of Zeonia","Pantheon leaps at an enemy and bashes the enemy with his shield, stunning them. After finishing the attack, Pantheon readies himself to block the next attack.",400,"Heartseeker Strike","Pantheon focuses and unleashes 3 swift strikes to the area in front of him dealing damage to all enemies. Pantheon also becomes more aware of his enemy's vital spots, allowing him to always crit enemies below 15% Health.",5500,"Grand Skyfall","Pantheon composes himself then leaps into the air to a target, striking all enemy units in an area. Enemies closer to the impact point take more damage.",
Ezreal         ,the Prodigal Explorer    , Marksman Mage      ,7,2,6,7,1150,"Mystic Shot","Ezreal fires a damaging bolt of energy which reduces all of his cooldowns by 1.5 seconds if it strikes an enemy unit.",1000,"Essence Flux","Ezreal fires a fluctuating wave of energy, dealing magic damage to enemy champions, while increasing the Attack Speed of allied champions.",475,"Arcane Shift","Ezreal teleports to a target nearby location and fires a homing bolt which strikes the nearest enemy unit.",20000,"Trueshot Barrage","Ezreal winds up for 1 second to fire a powerful barrage of energy missiles which do massive damage to each unit they pass through (deals 10% less damage to each unit it passes through).",
Draven         ,the Glorious Executioner , Marksman           ,9,3,1,8,300,"Spinning Axe","Draven's next attack will deal bonus physical damage. This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe. Draven can have two Spinning Axes at once.",1000,"Blood Rush","Draven gains increased Movement Speed and Attack Speed. The Movement Speed bonus decreases rapidly over its duration. Catching a Spinning Axe will refresh the cooldown of Blood Rush.",1050,"Stand Aside","Draven throws his axes, dealing physical damage to targets hit and knocking them aside. Targets hit are slowed.",20000,"Whirling Death","Draven hurls two massive axes to deal physical damage to each unit struck. Whirling Death slowly reverses direction and returns to Draven after striking an enemy champion. Draven may also activate this ability while the axes are in flight to cause it to return early. Deals less damage for each unit hit and resets when the axes reverse direction.",
Akali          ,the Fist of Shadow       , Assassin           ,5,3,8,7,600,"Mark of the Assassin","Akali spins her kama at a target enemy to deal Magic Damage and mark the target for 6 seconds. Akali's melee attacks against a marked target will trigger and consume the mark to cause additional damage and restore Energy.",700,"Twilight Shroud","Akali throws down a cover of smoke. While inside the area, Akali becomes invisible and gains a short burst of Movement Speed. Attacking or using abilities will briefly reveal her. Enemies inside the smoke have their Movement Speed reduced.",325,"Crescent Slash","Akali flourishes her kamas, dealing damage based on her Attack Damage and Ability Power.",700,"Shadow Dance","Akali moves through shadows to quickly strike through her target, dealing damage and consuming an Essence of Shadow charge. Akali recharges Essence of Shadow charges both periodically and upon kills and assists, max 3 stacks.",
Kennen         ,the Heart of the Tempest , Mage Marksman      ,6,4,7,4,950,"Thundering Shuriken","Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits.",725,"Electrical Surge","Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked.",200,"Lightning Rush","Kennen morphs into a lightning form, enabling him to pass through units. Each enemy unit he touches takes damage and receives a Mark of the Storm.",550,"Slicing Maelstrom","Kennen summons a storm that strikes at nearby enemy champions for magical damage.",
Kalista        ,the Spear of Vengeance   , Marksman           ,8,2,4,7,1150,"Pierce","Throw a fast moving spear that passes through enemies it kills.",5000,"Sentinel","Passively gain Attack Speed when near her Oathsworn ally, and deal bonus damage when striking the same target. <br><br>Activate to send a soul to scout out the path, revealing the area in front of it.",1000,"Rend","Attacks impale their targets with spears. Activate to rip the spears out, slowing and dealing escalating damage.",1000,"Fate's Call","Kalista teleports the Oathsworn ally to herself. They gain the ability to dash toward a position, knocking enemy champions back.",
Galio          ,the Sentinel's Sorrow    , Tank Mage          ,3,7,6,3,940,"Resolute Smite","Galio fires a concussive blast from his eyes, slowing and dealing damage to enemies caught near the impact point.",800,"Bulwark","Galio shields an ally Champion, increasing their Armor and Magic Resist, and restoring Galio's Health each time that Champion suffers damage.",1180,"Righteous Gust","Galio claps his wings, unleashing a gust of concussive wind that damages enemies and leaves a directional draft in its wake that increases ally Movement Speed.",560,"Idol of Durand","Galio assumes the form of a statue, taunting nearby enemies and storing concussive energy as they attack him. Galio then bursts from his statue shell, releasing the stored energy to damage surrounding foes.",
LeBlanc        ,the Deceiver             , Assassin Mage      ,1,4,10,9,700,"Sigil of Malice","LeBlanc projects an orb towards her target, dealing magic damage and marking the target for 3.5 seconds. If the target takes damage from one of LeBlanc's abilities, the sigil will trigger, dealing damage.",600,"Distortion","LeBlanc rapidly dashes to target location, dealing magic damage to nearby units. In the following 4 seconds, she can activate Distortion again to return to her starting location.",925,"Ethereal Chains","LeBlanc flings illusionary chains towards target location. If it hits an enemy unit, it will deal initial magic damage and slow their Movement Speed by 25%. If the target remains shackled for 2 seconds, the target takes additional magic damage and is unable to move.",200,"Mimic","LeBlanc can cast a mimicked version of the previous spell she cast.",
Rek'Sai        ,the Void Burrower        , Fighter            ,8,5,2,3,325,"Queen's Wrath / Prey Seeker","Rek'Sai's next 3 basic attacks deal bonus Physical Damage to nearby enemies.<br><br>While Burrowed, Rek'Sai launches a burst of void-charged earth that deals Magic Damage and reveals enemies hit.",1650,"Burrow / Un-burrow","Rek'Sai burrows into the ground, gaining new abilities and increased Movement Speed. Her vision range is reduced and she cannot use basic attacks.<br><br>While Burrowed, Rek'Sai may cast Un-burrow to knock up and damage nearby enemies.",250,"Furious Bite / Tunnel","Rek'Sai bites her target, dealing increased damage based on her Fury. Deals True Damage at max Fury.<br><br>While Burrowed, Rek'Sai creates a re-usable, long lasting tunnel. Enemies can destroy it by standing on top of either entrance.",25000,"Void Rush","Rek'Sai travels at incredible speed to a targeted Tunnel Entrance.",
Ekko           ,the Boy Who Shattered Time, Assassin Fighter   ,5,3,7,8,1075,"Timewinder","Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return.",1600,"Parallel Convergence","Ekko splits the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and triggers a detonation, stunning enemies by suspending them in time.",325,"Phase Dive","Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target.",850,"Chronobreak","Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage.",
Shyvana        ,the Half-Dragon          , Fighter Tank       ,8,6,3,4,650,"Twin Bite","Shyvana strikes twice on her next attack. Basic attacks reduce the cooldown of Twin Bite by 0.5 seconds.<br><br><span class="colorFF3300">Dragon Form: </span>Twin Bite cleaves all units in front Shyvana. ",325,"Burnout","Shyvana surrounds herself in fire, dealing magic damage per second to nearby enemies and moving faster for 3 seconds, part of this damage is applied again when Shyvana basic attacks an enemy with Burnout active. The Movement Speed reduces over the duration of the spell. Basic attacks extend the duration of Burnout. <br><br><span class="colorFF3300">Dragon Form: </span>Burnout scorches the ground beneath it, enemies on the scorched earth continue to take damage.",925,"Flame Breath","Shyvana unleashes a fireball that deals damage to all enemies it encounters and leaves cinders on the target, marking them for 5 seconds. Shyvana's basic attacks on marked targets deal a percentage of their maximum Health as damage on-hit.<br><br><span class="colorFF3300">Dragon Form: </span>Flame Breath engulfs all units in a cone in front of her.",1000,"Dragon's Descent","Shyvana transforms into a dragon and takes flight to a target location. Enemies along her path take damage and are knocked toward her target location.<br><br>Shyvana passively gains Fury per second and gains 2 Fury on basic attack.",
Ahri           ,the Nine-Tailed Fox      , Mage Assassin      ,3,4,8,5,880,"Orb of Deception","Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. Ahri gains movement speed that decays while her orb is traveling.",700,"Fox-Fire","Ahri releases three fox-fires, that lock onto and attack nearby enemies.",975,"Charm","Ahri blows a kiss that damages and charms an enemy it encounters, causing them to walk harmlessly towards her.",450,"Spirit Rush","Ahri dashes forward and fires essence bolts, damaging 3 nearby enemies (prioritizes Champions). Spirit Rush can be cast up to three times before going on cooldown.",
Xerath         ,the Magus Ascendant      , Mage Assassin      ,1,3,10,8,750,"Arcanopulse","Fires a long-range beam of energy, dealing magic damage to all targets hit.",1100,"Eye of Destruction","Calls down a barrage of arcane energy, slowing and dealing magic damage to all enemies in an area. Targets in the middle receive additional damage and a stronger slow.",1050,"Shocking Orb","Deals magic damage to an enemy and stuns them.",3200,"Rite of the Arcane","Xerath immobilizes himself and gains numerous long-range barrages.",
Volibear       ,the Thunder's Roar       , Fighter Tank       ,7,7,4,3,300,"Rolling Thunder","Volibear drops to all fours and runs faster. This bonus speed increases when chasing enemy champions. The first enemy he attacks is thrown backwards over Volibear.",350,"Frenzy","Volibear's repeated attacks grant him additional Attack Speed. Once Volibear has repeatedly attacked three times, he can perform a vicious bite on his target which deals increased damage based on the target's missing Health.",425,"Majestic Roar","Volibear lets out a powerful roar that damages and slows enemies. Minions and monsters are feared as well.",500,"Thunder Claws","Volibear erupts with chain lightning, damaging a number nearby enemies. The power of the storm causes Volibear's attacks to blast his targets with lightning that bounces to other nearby enemies.",
Rengar         ,the Pridestalker         , Assassin Fighter   ,7,4,2,8,300,"Savagery","Rengar's next basic attack deals bonus damage.<br>Ferocity effect: Rengar deals enhanced damage and grants him Attack Speed and Attack Damage.",500,"Battle Roar","Rengar lets out a battle roar, damaging enemies and gaining bonus Armor and Magic Resist for a short duration.<br>Ferocity effect: Rengar heals for a large amount.",1000,"Bola Strike","Rengar throws a bola, slowing the first target hit for a short duration.<br>Ferocity effect: Roots the target.",2000/3000/4000,"Thrill of the Hunt","Rengar activates his predatory instincts, stealthing himself and revealing all enemy Champions in a large radius around him. While stealthed, he gains Movement Speed and his next attack will cause him to leap. He gains Movement Speed and rapidly generates Ferocity after he breaks stealth.",
Graves         ,the Outlaw               , Marksman           ,8,5,3,3,925,"End of the Line","Graves fires an explosive shell that detonates after 2 seconds, or 0.25 seconds if it strikes terrain.",950,"Smoke Screen","Graves fires a smoke canister at the target area creating a cloud of smoke. Enemies inside the smoke cloud have reduced sight range and Movement Speed. ",425,"Quickdraw","Graves dashes forward gaining an Armor and Magic Resist boost for several seconds. Hitting enemies with basic attacks lowers the cooldown of this skill and refreshes the resistance boost. ",1000,"Collateral Damage","Graves fires an explosive shell dealing heavy damage to the first champion it hits. After hitting a champion or reaching the end of its range, the shell explodes dealing damage in a cone. ",
Fizz           ,the Tidal Trickster      , Assassin Fighter   ,6,4,7,6,550,"Urchin Strike","Fizz strikes his target and runs them through, dealing magic damage and applying on hit effects.",600,"Seastone Trident","Fizz's attacks passively rend his enemies, dealing magic damage over several seconds based on the target's missing Health. When activated, for a short duration, Fizz's attacks deal additional magic damage.",400,"Playful / Trickster","Fizz hops into the air, landing gracefully upon his spear and becoming untargetable. From this position, Fizz can either slam the ground or choose to jump again before smashing back down.",1275,"Chum the Waters","Fizz releases a magical fish toward a location that attaches to any champion that touches it, slowing the target  and amplifying all of Fizz's magic damage to them (except for Chum the Waters). After a short delay, a shark erupts from the ground, knocking up the target and knocking any nearby enemies aside. All enemies hit are dealt magic damage and slowed.",
Irelia         ,the Will of the Blades   , Fighter Assassin   ,7,4,5,5,650,"Bladesurge","Irelia dashes forward to strike her target. If it kills the target, Bladesurge's cooldown refreshes and refunds a portion of the Mana Cost.",20,"Hiten Style","Irelia is skilled in the art of Hiten, passively giving her physical attacks Health restoration. Activating Hiten Style doubles her Health restoration and gives her basic attacks true damage.",325,"Equilibrium Strike","Irelia's attack balances the scales, dealing damage and slowing the target. However, if the target has a higher Health % than Irelia, then the blow stuns the target instead of slowing.",1000,"Transcendent Blades","Irelia summons 4 spirit blades that she can fling to deal physical damage and siphon life from enemies they pass through.",
Kassadin       ,the Void Walker          , Assassin Mage      ,3,5,8,8,650,"Null Sphere","Kassadin fires an orb of void energy at a target, dealing damage and interrupting channels. The excess energy forms around himself, granting a temporary shield that absorbs magic damage.",1,"Nether Blade","Passive: Kassadin's basic attacks deal bonus magic damage. Active: Kassadin's next basic attack deals significant bonus magic damage and restores Mana.",400,"Force Pulse","Kassadin draws energy from spells cast in his vicinity. Upon charging up, Kassadin can use Force Pulse to damage and slow enemies in a cone in front of him.",500,"Riftwalk","Kassadin teleports to a nearby location dealing damage to nearby enemy units. Multiple Riftwalks in a short period of time cost additional Mana but also deal additional damage.",
Rammus         ,the Armordillo           , Tank Fighter       ,4,10,5,5,300,"Powerball","Rammus accelerates in a ball towards his enemies, dealing damage and slowing targets affected by the impact.",300,"Defensive Ball Curl","Rammus goes into a defensive formation, vastly increasing his Armor and Magic Resist, while returning damage to attacks.",325,"Puncturing Taunt","Rammus taunts an enemy champion or monster into a reckless assault against Rammus' hard shell, reducing Armor temporarily.",375,"Tremors","Rammus creates waves of destruction pulsing through the ground, causing damage to units and structures near him.",
Amumu          ,the Sad Mummy            , Tank Mage          ,2,6,8,3,1100,"Bandage Toss","Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.",300,"Despair","Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second.",350,"Tantrum","Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced by 0.5 seconds.",550,"Curse of the Sad Mummy","Amumu entangles surrounding enemy units in bandages, damaging them and rendering them unable to attack or move.",
Cho'Gath       ,the Terror of the Void   , Tank Mage          ,3,7,7,5,950,"Rupture","Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them.",300,"Feral Scream","Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds.",40,"Vorpal Spikes","Cho'Gath's attacks passively release deadly spikes, dealing damage to all enemy units in front of him.",175,"Feast","Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum Health (maximum 6 stacks). Cho'Gath loses half of his stacks upon death. Half the cooldown and mana cost are refunded if a minion or monster is killed.",
Karthus        ,the Deathsinger          , Mage               ,2,2,10,7,875,"Lay Waste","Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies.",1000,"Wall of Pain","Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Movement Speed and Magic Resist reduced for a period.",550,"Defile","Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana.  ",10000,"Requiem","After channeling for 3 seconds, Karthus deals damage to all enemy champions.",
Sona           ,Maven of the Strings     , Support Mage       ,5,2,8,4,825,"Hymn of Valor","Sona plays the Hymn of Valor, sends out bolts of sound, dealing magic damage to two nearby enemies, prioritizing champions and monsters. Sona gains a temporary aura that grants allies tagged by the zone bonus damage on their next attack against enemies and extends the duration of her aura for each ally she aids.",1000,"Aria of Perseverance","Sona plays the Aria of Perseverance, sending out protective melodies, healing Sona and a nearby wounded ally. Sona gains a temporary aura that grants allies tagged by the zone a temporary shield and extends the duration of her aura for each ally she aids.",360,"Song of Celerity","Sona plays the Song of Celerity, granting herself bonus Movement Speed that decays over time. Sona gains a temporary aura that grants nearby allied champions bonus Movement Speed and extends the duration of her aura for each ally she aids.",900,"Crescendo","Sona plays her ultimate chord, stunning enemy champions and forcing them to dance and dealing magic damage to them. Each rank increases the power of all aura effects.",
Dr. Mundo      ,the Madman of Zaun       , Fighter Tank       ,5,7,6,5,975,"Infected Cleaver","Dr. Mundo hurls his cleaver, dealing damage equal to a portion of his target's current Health and slowing them for a short time. Dr. Mundo delights in the suffering of others, so he is returned half of the Health cost when he successfully lands a cleaver (increased to the full Health cost on killing blows).",325,"Burning Agony","Dr. Mundo drains his Health to reduce the duration of disables and deal continual damage to nearby enemies.",300,"Masochism","Masochism deals bonus damage on Dr. Mundo's next basic attack and increases Attack Damage by a flat amount for 5 seconds. In addition, Dr. Mundo also gains an additional amount of Attack Damage for each percentage of Health he is missing.",20,"Sadism","Dr. Mundo sacrifices a portion of his Health for increased Movement Speed and drastically increased Health Regeneration.",
Shaco          ,the Demon Jester         , Assassin           ,8,4,6,9,400,"Deceive","Shaco becomes invisible and teleports to target location. His next attack is guaranteed to critically strike.",425,"Jack In The Box","Shaco creates an invisible, animated Jack-in-the-Box, which will fear, and then attack, nearby enemies.",625,"Two-Shiv Poison","Shaco's Shivs passively poison targets on hit, slowing their movement speed. Against minions and monsters the poison also slows attack speed. He can throw his Shivs to deal damage and poison the target.",500,"Hallucinate","Shaco creates an illusion of himself near him, which can attack nearby enemies. (Deals half damage to turrets.)  Upon death, it explodes, dealing damage to nearby enemies. ",
Anivia         ,the Cryophoenix          , Mage Support       ,1,4,10,10,1075,"Flash Frost","Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.",1000,"Crystallize","Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.",650,"Frostbite","With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing a low amount of damage. If the target has been slowed by Flash Frost or Glacial Storm, the damage they take is doubled.",750,"Glacial Storm","Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.",
Bard           ,the Wandering Caretaker  , Support Mage       ,4,4,5,9,25000,"Cosmic Binding","Bard fires a missile which will slow the first enemy struck, and continue onward. If it strikes a wall, it will stun the initial target; if it strikes another enemy, it will stun them both.",800,"Caretaker's Shrine","Reveals a healing shrine which powers up over a short time, disappearing after healing the first ally that touches it.",900,"Magical Journey","Bard opens a portal in nearby terrain. Allies and enemies alike can take a one-way trip through that terrain by moving into the portal.",3400,"Tempered Fate","Bard sends spirit energy arcing to a location, putting all champions, minions, monsters, and turrets hit into stasis for a brief time.",
Elise          ,the Spider Queen         , Mage Fighter       ,6,5,7,9,625,"Neurotoxin / Venomous Bite","Human Form: Deals damage based upon how high the target's Health is.<br><br>Spider Form: Lunges at an enemy and deals damage based upon how low their Health is.",950,"Volatile Spiderling / Skittering Frenzy","Human Form: Releases a venom-gorged Spiderling that explodes when it nears a target.<br><br>Spider Form: Elise and her Spiderlings gain Attack Speed.",1075,"Cocoon / Rappel","Human Form: Stuns the first enemy unit hit and reveals them if they are not stealthed.<br><br>Spider Form: Elise and her Spiderlings ascend into the air and then descend upon target enemy.",20,"Spider Form","Transforms into a menacing spider, reducing her attack range in exchange for movement speed, new abilities, and a Spiderling swarm that will attack her foes.",
Orianna        ,the Lady of Clockwork    , Mage Support       ,4,3,9,7,815,"Command: Attack","Orianna commands her Ball to fire toward a target location, dealing magic damage to targets along the way (deals less damage to subsequent targets). Her Ball remains at the target location after.",255,"Command: Dissonance","Orianna commands the Ball to release a pulse of energy, dealing magic damage around it. This leaves a field behind that speeds up allies and slows enemies.",1095,"Command: Protect","Orianna commands her Ball to attach to an allied champion, shielding them and dealing magic damage to any enemies it passes through on the way. Additionally, the Ball grants additional Armor and Magic Resist to the champion it is attached to.",410,"Command: Shockwave","Orianna commands her Ball to unleash a shockwave, dealing magic damage and launching nearby enemies towards the Ball after a short delay.",
Wukong         ,the Monkey King          , Fighter Tank       ,8,5,2,3,650,"Crushing Blow","Wukong's next attack deals additional physical damage, gains range, and reduces the enemy's Armor for a short duration.",325,"Decoy","Wukong becomes invisible for a short duration, leaving behind a decoy that will deal Magic Damage to enemies near it when Wukong's stealth expires.",650,"Nimbus Strike","Wukong dashes to target enemy and sends out images to attack up to 2 additional enemies near his target, dealing physical damage to each enemy struck.",315,"Cyclone","Wukong's staff grows outward and he spins it around, dealing damage and knocking up enemies. Wukong gains Movement Speed over the duration of the spell.",
Brand          ,the Burning Vengeance    , Mage               ,2,2,9,4,1050,"Sear","Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for 1.5 seconds.",900,"Pillar of Flame","After a short delay, Brand creates a Pillar of Flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.",625,"Conflagration","Brand conjures a powerful blast at his target, dealing magic damage to them. If the target is ablaze, Conflagration spreads to nearby enemies.",750,"Pyroclasm","Brand unleashes a devastating torrent of fire, dealing magic damage each time it bounces, up to 5 bounces. Bounces prioritize stacking Blaze to max on Champions. If a target is ablaze, Pyroclasm will briefly slow them.",
Lee Sin        ,the Blind Monk           , Fighter Assassin   ,8,5,3,6,1000,"Sonic Wave / Resonating Strike","Sonic Wave: Lee Sin projects a discordant wave of sound to locate his enemies, dealing physical damage to the first enemy it encounters. If Sonic Wave hits, Lee Sin can cast Resonating Strike for the next 3 seconds.<br>Resonating Strike: Lee Sin dashes to the enemy hit by Sonic Wave, dealing physical damage plus 8% of their missing Health.",700,"Safeguard / Iron Will","Safeguard: Lee Sin rushes to target ally, shielding himself from damage. If the ally is a champion, they are also shielded. After using Safeguard, Lee Sin can cast Iron Will for the next 3 seconds.<br>Iron Will: Lee Sin's intense training allows him to thrive in battle. For 5 seconds, Lee Sin gains Life Steal and Spell Vamp.",425,"Tempest / Cripple","Tempest: Lee Sin smashes the ground, sending out a shockwave that deals magic damage and reveals enemy units hit. If Tempest hits an enemy, Lee Sin can cast cripple for the next 3 seconds.<br>Cripple: Lee Sin cripples nearby enemies revealed by Tempest, reducing their Movement Speed for 4 seconds. Movement Speed recovers gradually over the duration.",375,"Dragon's Rage","Lee Sin performs a powerful roundhouse kick launching his target back, dealing physical damage to the target and any enemies they collide with. Enemies the target collides with are knocked into the air for a short duration. This technique was taught to him by Jesse Perring, although Lee Sin does not kick players off the map.",
Vayne          ,the Night Hunter         , Marksman Assassin  ,10,1,1,8,300,"Tumble","Vayne tumbles, maneuvering to carefully place her next shot. Her next attack deals bonus damage.",750,"Silver Bolts","Vayne tips her bolts with a rare metal, toxic to evil things. The third consecutive attack or ability against the same target deals a percentage of the target's maximum Health as bonus true damage. (Max: 200 damage vs. Monsters)",710,"Condemn","Vayne draws a heavy crossbow from her back, and fires a huge bolt at her target, knocking them back and dealing damage. If they collide with terrain, they are impaled, dealing bonus damage and stunning them.",1,"Final Hour","Readying herself for an epic confrontation, Vayne gains increased Attack Damage, invisibility during Tumble, and triple the bonus Movement Speed from Night Hunter.",
Rumble         ,the Mechanized Menace    , Fighter Mage       ,3,6,8,10,600,"Flamespitter","Rumble torches opponents in front of him, dealing magic damage in a cone for 3 seconds. While in Danger Zone this damage is increased. ",20,"Scrap Shield","Rumble pulls up a shield, protecting him from damage and granting him a quick burst of speed. While in Danger Zone, the shield strength and speed bonus is increased. ",850,"Electro Harpoon","Rumble launches a taser, electrocuting his target with magic damage and slowing their Movement Speed. Rumble can carry 2 harpoons at a time. While in Danger Zone the damage and slow percentage is increased.  ",1750,"The Equalizer","Rumble fires off a group of rockets, creating a wall of flames that damages and slows enemies. ",
Cassiopeia     ,the Serpent's Embrace    , Mage               ,2,3,9,10,850,"Noxious Blast","Cassiopeia blasts an area with Poison after a brief delay, granting her increased Movement Speed if she hits an enemy champion.",900,"Miasma","Cassiopeia releases several clouds of poison, slowing, grounding, and lightly damaging enemies that pass through them. Grounded enemies cannot use Movement abilities.",700,"Twin Fang","Cassiopeia lets loose an attack that deals increased damage to Poisoned targets and heals her for a percentage of the damage dealt. If the target dies from this attack, Cassiopeia regains Mana.",825,"Petrifying Gaze","Cassiopeia releases a swirl of magical energy from her eyes, stunning any enemies in front of her that are facing her and slowing any others with their back turned.",
Vi             ,the Piltover Enforcer    , Fighter Assassin   ,8,5,3,4,250,"Vault Breaker","Vi charges her gauntlets and unleashes a vault shattering punch, carrying her forward. Enemies she hits are knocked back and receive a stack of Denting Blows.",750,"Denting Blows","Vi's punches break her opponent's Armor, dealing bonus damage and granting her Attack Speed.",400,"Excessive Force","Vi's next attack blasts through her target, dealing damage to enemies behind it.",800,"Assault and Battery","Vi runs down an enemy, knocking aside anyone in the way. When she reaches her target she knocks it into the air, jumps after it, and slams it back into the ground.",
Olaf           ,the Berserker            , Fighter Tank       ,9,5,3,3,1000,"Undertow","Olaf throws an axe into the ground at a target location, dealing damage to enemies it passes through and slowing their Movement Speed. If Olaf picks up the axe, the ability's cooldown is reduced by 4.5 seconds.",700,"Vicious Strikes","Olaf's Attack Speed is increased, he gains Life Steal and has increased healing from all sources based on how much Health he is missing.",325,"Reckless Swing","Olaf attacks with such force that it deals true damage to his target and himself, refunding the Health cost if he destroys the target.",400,"Ragnarok","Olaf temporarily becomes immune to disables.",
Urgot          ,the Headsman's Pride     , Marksman Fighter   ,8,5,3,8,1000,"Acid Hunter","Urgot fires an Acid Hunter missile that collides with the first enemy it hits, slowing the target if he has his Terror Capacitor up. Acid Hunter missile-locks on enemies affected by Noxian Corrosive Charge.",600,"Terror Capacitor","Urgot charges up his capacitor to gain a shield. While the shield is active, Urgot gains slowing attacks.",900,"Noxian Corrosive Charge","Urgot launches a corrosive charge that damages enemies in an area and reduces their Armor.",550/700/850,"Hyper-Kinetic Position Reverser","Urgot charges up his Hyper-Kinetic Position Reverser, swapping positions with the target and terrifying nearby enemies for 1.5 seconds. His target is suppressed for the duration of the channel. He gains Damage Reduction during and after the swap.",
Lux            ,the Lady of Luminosity   , Mage Support       ,2,4,9,5,1175,"Light Binding","Lux releases a sphere of light that binds and deals damage to up to two enemy units.",1075,"Prismatic Barrier","Lux throws her wand and bends the light around any friendly target it touches, protecting them from enemy damage.",1100,"Lucent Singularity","Fires an anomaly of twisted light to an area, which slows nearby enemies. Lux can detonate it to damage enemies in the area of effect.",3340,"Final Spark","After gathering energy, Lux fires a beam of light that deals damage to all targets in the area. In addition, triggers Lux's passive ability and refreshes the Illumination debuff duration.",
Shen           ,the Eye of Twilight      , Tank Melee         ,3,9,3,4,400,"Twilight Assault","Shen recalls his spirit blade to attack with it, dealing damage based on the target's max health. The attacks are greatly empowered if it collides with an enemy champion, and all collided enemies are slowed while running away from Shen.",400,"Spirit's Refuge","Attacks that would hit Shen or his allies near his spirit blade are blocked.",600,"Shadow Dash","Shen dashes in a direction, taunting enemies in his path.",35000,"Stand United","Shen shields target allied champion from incoming damage, and soon after teleports to their location.",
Talon          ,the Blade's Shadow       , Assassin Fighter   ,9,3,1,7,300,"Noxian Diplomacy","Talon's next basic attack deals bonus physical damage. If the target is a champion, they will bleed, taking additional physical damage over a period of time and revealing their location for the duration.",650,"Rake","Talon sends out a volley of daggers that then return back to him, dealing physical damage every time it passes through an enemy. Additionally the enemy is slowed for a short duration.",700,"Cutthroat","Talon instantly appears behind his target, briefly slowing them and amplifying his damage against that target.",650,"Shadow Assault","Talon disperses a ring of blades and becomes invisible while gaining additional Movement Speed. When Talon emerges from invisibility, the blades converge on his location. Each time the blades move, Shadow Assault deals physical damage to enemies hit by at least one blade.  ",
Malzahar       ,the Prophet of the Void  , Mage Assassin      ,2,2,9,6,900,"Call of the Void","Malzahar opens up two portals to the Void. After a short delay, they fire projectiles that deal Magic Damage and silence enemy champions.",450,"Void Swarm","Malzahar summons a Voidling. As Voidlings attack and kill enemies, more are summoned. When he has at least three, all living Voidlings frenzy, gaining significant Attack Speed.",650,"Malefic Visions","Malzahar infects his target's mind with cruel visions of their demise, dealing damage over time. Using Malzahar's other spells on the target will refresh the visions.<br><br>If the target dies while afflicted by the visions, they pass on to a nearby enemy unit and Malzahar gains Mana. Malzahar's Voidlings are attracted to affected units.",700,"Nether Grasp","Malzahar channels the essence of the Void to suppress an enemy champion over a zone of damaging negative energy.",
